A2M,The a2 Milk Company,Consumer Staples,"8,351,920,000",0.5,,"1,672,190,798,000",
AAD,Ardent Leisure Group Ordinary/Units FP Stapled Securities,Consumer Discretionary,"869,631,000",0.05,,,
ABC,Adelaide Brighton,Materials,"4,044,700,000",0.24,,Sector Breakdown,
ABP,Abacus Property Group Units/ Stapled Securities,Real Estate,"2,010,390,000",0.12,,Consumer Discretionary,5.21
AGL,AGL Energy Limited,Utilities,"14,218,300,000",0.85,,Consumer Staples,7.32
AHG,Automotive Holdings,Consumer Discretionary,"1,164,000,000",0.07,,Energy,5.26
AHY,Asaleo Care Limited,Consumer Staples,"695,197,000",0.04,,Financials,32.59
ALL,Aristocrat Leisure,Consumer Discretionary,"15,363,400,000",0.92,,Health Care,8.53
ALQ,Als Limited,Industrials,"3,639,110,000",0.22,,Industrials,7.62
ALU,Altium Limited,Information Technology,"2,592,670,000",0.16,,Information Technology,2.75
AMC,Amcor Limited,Materials,"16,410,900,000",0.98,,Materials,17.59
AMP,AMP Limited,Financials,"14,563,200,000",0.87,,Real Estate,7.94
ANN,Ansell Limited,Health Care,"3,618,260,000",0.22,,Telecommunication Services,3.13
ANZ,ANZ Banking Group Limited,Financials,"78,264,000,000",4.68,,Utilities,2.04
AOG,Aveo Group Ordinary/Units FP Stapled Securities,Real Estate,"1,533,410,000",0.09,,,
APA,APA Group Units FP Stapled Securities,Utilities,"9,297,560,000",0.56,,,
API,Australian Pharm,Health Care,"738,643,000",0.04,,,
APO,Apn Outdoor Group,Consumer Discretionary,"774,907,000",0.05,,,
ARB,ARB Corporation,Consumer Discretionary,"1,569,830,000",0.09,,,
ASL,Ausdrill Limited,Materials,"977,324,000",0.06,,,
AST,Ausnet Services Limited,Utilities,"6,054,030,000",0.36,,,
ASX,ASX Limited,Financials,"10,852,900,000",0.65,,,
AWC,Alumina Limited,Materials,"6,796,430,000",0.41,,,
AZJ,Aurizon Holdings Limited,Industrials,"8,418,240,000",0.5,,,
BAL,Bellamy's Australia,Consumer Staples,"2,248,190,000",0.13,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,587,930,000",0.09,,,
BEN,Bendigo and Adelaide,Financials,"4,744,630,000",0.28,,,
BGA,Bega Cheese Limited,Consumer Staples,"1,252,820,000",0.07,,,
BHP,BHP Billiton Limited,Materials,"90,601,800,000",5.42,,,
BKL,Blackmores Limited,Consumer Staples,"2,166,590,000",0.13,,,
BKW,Brickworks Limited,Materials,"2,318,820,000",0.14,,,
BLD,Boral Limited,Materials,"8,722,150,000",0.52,,,
BOQ,Bank of Queensland,Financials,"4,302,780,000",0.26,,,
BPT,Beach Energy Limited,Energy,"2,765,530,000",0.17,,,
BRG,Breville Group Limited,Consumer Discretionary,"1,513,010,000",0.09,,,
BSL,Bluescope Steel Limited,Materials,"8,352,060,000",0.5,,,
BTT,BT Investment MNGMNT,Financials,"3,183,080,000",0.19,,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"1,940,000,000",0.12,,,
BXB,Brambles Limited,Industrials,"15,880,400,000",0.95,,,
CAR,Carsales.com Limited,Information Technology,"3,276,550,000",0.2,,,
CBA,Commonwealth Bank,Financials,"126,740,000,000",7.58,,,
CCL,Coca-Cola Amatil,Consumer Staples,"6,277,080,000",0.38,,,
CCP,Credit Corp Group,Financials,"920,307,000",0.06,,,
CGC,Costa Group Holdings,Consumer Staples,"2,183,540,000",0.13,,,
CGF,Challenger Limited,Financials,"7,049,280,000",0.42,,,
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"2,668,900,000",0.16,,,
CIM,Cimic Group Limited,Industrials,"14,419,600,000",0.86,,,
CLW,CHTR H LWR Stapled Securities,Real Estate,"905,971,000",0.05,,,
CMW,Cromwell Prop Ordinary/Units FP Stapled Securities,Real Estate,"2,110,440,000",0.13,,,
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"1,601,100,000",0.1,,,
COH,Cochlear Limited,Health Care,"10,451,800,000",0.63,,,
CPU,Computershare Limited,Information Technology,"9,398,570,000",0.56,,,
CQR,Charter Hall Retail Units FP,Real Estate,"1,554,430,000",0.09,,,
CSL,CSL Limited,Health Care,"70,329,800,000",4.21,,,
CSR,CSR Limited,Materials,"2,612,320,000",0.16,,,
CTD,Corp Travel Limited,Consumer Discretionary,"2,491,430,000",0.15,,,
CTX,Caltex Australia,Energy,"8,189,450,000",0.49,,,
CWN,Crown Resorts Limited,Consumer Discretionary,"8,741,480,000",0.52,,,
CWY,Cleanaway Waste Limited,Industrials,"2,938,470,000",0.18,,,
CYB,CYBG Plc Cdi 1:1 Foreign Exempt Lse,Financials,"4,051,040,000",0.24,,,
DHG,Domain Holdings Aus,Information Technology,"1,886,610,000",0.11,,,
DLX,Duluxgroup Limited,Materials,"2,872,670,000",0.17,,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"3,562,370,000",0.21,,,
DOW,Downer Edi Limited,Industrials,"3,812,040,000",0.23,,,
